Algoritmo,Tamanho,Tempo(ms) Médio,Trocas Médias,Iterações Médias
CombSort,1000,0.5026584000000001,4433.0,21710.0
GnomeSort,500000,131950.7691332,-1939442104.0,416583088.0
QuickSort,500000,31.757600200000002,17372634.0,20970632.0
CombSort,100000,6.986199999999999,671094.0,3966742.0
GnomeSort,10000,63.9545748,25065989.0,50141978.0
CombSort,10000,2.1709082,60609.0,326734.0
MergeSort,500000,54.6826252,4447755.0,18951424.0
MergeSort,1000000,109.48476680000002,9395247.0,39902848.0
CombSort,1000000,63.9576916,6860425.0,48666763.0
MergeSort,100000,10.0503336,776358.0,3337856.0
MergeSort,1000,0.3764082,4374.0,19952.0
CombSort,500000,32.2274,3431428.0,24333421.0
GnomeSort,1000,3.431725,260038.0,521076.0
QuickSort,10000,0.9602001999999998,93368.0,162819.0
QuickSort,1000000,82.1166664,59441137.0,66810885.0
QuickSort,1000,0.2733334,7068.0,10953.0
GnomeSort,100000,5372.0204834000015,-1788002331.0,719062634.0
QuickSort,100000,4.8634502,1454798.0,2187654.0
MergeSort,10000,1.3777748000000003,61369.0,267232.0
