Run,Algoritmo,Tamanho,Tempo(ms),Trocas,Iteracoes
1,CombSort,1000,0.500625,4433.0,21710.0
1,GnomeSort,500000,132306.362375,-1939442104.0,416583088.0
1,QuickSort,500000,32.031084,17372634.0,20970632.0
1,CombSort,100000,7.095875,671094.0,3966742.0
1,GnomeSort,10000,59.651875,25065989.0,50141978.0
1,CombSort,10000,2.194333,60609.0,326734.0
1,MergeSort,500000,53.4925,4447755.0,18951424.0
1,MergeSort,1000000,107.722334,9395247.0,39902848.0
1,CombSort,1000000,63.75725,6860425.0,48666763.0
1,MergeSort,100000,10.484917,776358.0,3337856.0
1,MergeSort,1000,0.382,4374.0,19952.0
1,CombSort,500000,32.746709,3431428.0,24333421.0
1,GnomeSort,1000,3.591542,260038.0,521076.0
1,QuickSort,10000,0.94275,93368.0,162819.0
1,QuickSort,1000000,83.042875,59441137.0,66810885.0
1,QuickSort,1000,0.272,7068.0,10953.0
1,GnomeSort,100000,5486.586709,-1788002331.0,719062634.0
1,QuickSort,100000,4.875042,1454798.0,2187654.0
1,MergeSort,10000,1.339541,61369.0,267232.0
2,CombSort,1000,0.503125,4433.0,21710.0
2,GnomeSort,500000,131678.354958,-1939442104.0,416583088.0
2,QuickSort,500000,32.419292,17372634.0,20970632.0
2,CombSort,100000,6.9425,671094.0,3966742.0
2,GnomeSort,10000,58.310708,25065989.0,50141978.0
2,CombSort,10000,2.193375,60609.0,326734.0
2,MergeSort,500000,56.37575,4447755.0,18951424.0
2,MergeSort,1000000,111.525167,9395247.0,39902848.0
2,CombSort,1000000,64.04875,6860425.0,48666763.0
2,MergeSort,100000,10.051875,776358.0,3337856.0
2,MergeSort,1000,0.388541,4374.0,19952.0
2,CombSort,500000,31.975875,3431428.0,24333421.0
2,GnomeSort,1000,3.380208,260038.0,521076.0
2,QuickSort,10000,0.959209,93368.0,162819.0
2,QuickSort,1000000,81.733583,59441137.0,66810885.0
2,QuickSort,1000,0.276875,7068.0,10953.0
2,GnomeSort,100000,5277.785458,-1788002331.0,719062634.0
2,QuickSort,100000,4.875709,1454798.0,2187654.0
2,MergeSort,10000,1.373042,61369.0,267232.0
3,CombSort,1000,0.508542,4433.0,21710.0
3,GnomeSort,500000,131743.445709,-1939442104.0,416583088.0
3,QuickSort,500000,31.277792,17372634.0,20970632.0
3,CombSort,100000,6.99125,671094.0,3966742.0
3,GnomeSort,10000,58.382958,25065989.0,50141978.0
3,CombSort,10000,2.187708,60609.0,326734.0
3,MergeSort,500000,52.774542,4447755.0,18951424.0
3,MergeSort,1000000,106.263083,9395247.0,39902848.0
3,CombSort,1000000,63.987541,6860425.0,48666763.0
3,MergeSort,100000,10.270584,776358.0,3337856.0
3,MergeSort,1000,0.383209,4374.0,19952.0
3,CombSort,500000,31.842125,3431428.0,24333421.0
3,GnomeSort,1000,3.461041,260038.0,521076.0
3,QuickSort,10000,0.951375,93368.0,162819.0
3,QuickSort,1000000,81.926458,59441137.0,66810885.0
3,QuickSort,1000,0.275333,7068.0,10953.0
3,GnomeSort,100000,5479.004,-1788002331.0,719062634.0
3,QuickSort,100000,4.863958,1454798.0,2187654.0
3,MergeSort,10000,1.477916,61369.0,267232.0
4,CombSort,1000,0.500875,4433.0,21710.0
4,GnomeSort,500000,131496.136458,-1939442104.0,416583088.0
4,QuickSort,500000,30.8375,17372634.0,20970632.0
4,CombSort,100000,6.948125,671094.0,3966742.0
4,GnomeSort,10000,58.732875,25065989.0,50141978.0
4,CombSort,10000,2.133667,60609.0,326734.0
4,MergeSort,500000,52.296084,4447755.0,18951424.0
4,MergeSort,1000000,105.423917,9395247.0,39902848.0
4,CombSort,1000000,63.99075,6860425.0,48666763.0
4,MergeSort,100000,9.868667,776358.0,3337856.0
4,MergeSort,1000,0.378041,4374.0,19952.0
4,CombSort,500000,32.164375,3431428.0,24333421.0
4,GnomeSort,1000,3.271167,260038.0,521076.0
4,QuickSort,10000,1.013542,93368.0,162819.0
4,QuickSort,1000000,81.922541,59441137.0,66810885.0
4,QuickSort,1000,0.277917,7068.0,10953.0
4,GnomeSort,100000,5286.408792,-1788002331.0,719062634.0
4,QuickSort,100000,4.86725,1454798.0,2187654.0
4,MergeSort,10000,1.349375,61369.0,267232.0
5,CombSort,1000,0.500125,4433.0,21710.0
5,GnomeSort,500000,132529.546166,-1939442104.0,416583088.0
5,QuickSort,500000,32.222333,17372634.0,20970632.0
5,CombSort,100000,6.95325,671094.0,3966742.0
5,GnomeSort,10000,84.694458,25065989.0,50141978.0
5,CombSort,10000,2.145458,60609.0,326734.0
5,MergeSort,500000,58.47425,4447755.0,18951424.0
5,MergeSort,1000000,116.489333,9395247.0,39902848.0
5,CombSort,1000000,64.004167,6860425.0,48666763.0
5,MergeSort,100000,9.575625,776358.0,3337856.0
5,MergeSort,1000,0.35025,4374.0,19952.0
5,CombSort,500000,32.407916,3431428.0,24333421.0
5,GnomeSort,1000,3.454667,260038.0,521076.0
5,QuickSort,10000,0.934125,93368.0,162819.0
5,QuickSort,1000000,81.957875,59441137.0,66810885.0
5,QuickSort,1000,0.264542,7068.0,10953.0
5,GnomeSort,100000,5330.317458,-1788002331.0,719062634.0
5,QuickSort,100000,4.835292,1454798.0,2187654.0
5,MergeSort,10000,1.349,61369.0,267232.0
